iter	Passed	Remaining
0	134	75780
1	138	38872
2	142	26553
3	146	20445
4	150	16821
5	155	14403
6	159	12644
7	163	11320
8	169	10456
9	173	9622
10	178	8949
11	184	8461
12	191	8083
13	195	7670
14	201	7368
15	206	7058
16	210	6771
17	216	6540
18	220	6318
19	225	6126
20	230	5947
21	235	5787
22	239	5632
23	244	5493
24	250	5394
25	255	5276
26	259	5161
27	264	5061
28	270	4974
29	274	4882
30	280	4811
31	284	4727
32	289	4655
33	295	4594
34	300	4529
35	305	4470
36	310	4411
37	315	4354
38	320	4300
39	325	4250
40	329	4193
41	334	4150
42	337	4083
43	342	4037
44	347	3999
45	351	3947
46	356	3909
47	361	3877
48	366	3840
49	371	3812
50	376	3777
51	381	3744
52	386	3718
53	391	3693
54	396	3663
55	401	3634
56	406	3609
57	411	3579
58	416	3555
59	421	3532
60	426	3509
61	431	3484
62	435	3459
63	440	3437
64	445	3414
65	451	3402
66	457	3384
67	463	3373
68	469	3357
69	474	3339
70	479	3322
71	483	3297
72	489	3282
73	494	3264
74	498	3245
75	504	3230
76	509	3213
77	513	3194
78	518	3177
79	524	3163
80	529	3149
81	534	3132
82	538	3112
83	542	3094
84	547	3078
85	552	3066
86	557	3050
87	562	3035
88	567	3024
89	572	3009
90	577	2995
91	582	2980
92	588	2971
93	592	2956
94	597	2944
95	604	2938
96	609	2925
97	613	2913
98	619	2904
99	624	2891
100	629	2879
101	635	2871
102	640	2860
103	645	2848
104	650	2838
105	656	2828
106	662	2822
107	671	2829
108	676	2819
109	683	2814
110	689	2806
111	694	2796
112	700	2789
113	706	2782
114	711	2773
115	717	2764
116	724	2760
117	729	2750
118	735	2742
119	741	2735
120	747	2729
121	752	2721
122	758	2712
123	763	2703
124	769	2695
125	775	2688
126	781	2681
127	787	2675
128	794	2672
129	800	2664
130	805	2656
131	811	2650
132	817	2642
133	822	2633
134	828	2626
135	834	2620
136	839	2611
137	844	2602
138	851	2595
139	857	2589
140	863	2584
141	869	2577
142	874	2569
143	881	2563
144	887	2558
145	891	2547
146	897	2540
147	903	2533
