nomem_encr,gender_ds,age_qt,has_partner_now_fl,actual_number_of_household_children_qt,number_of_household_children_increase_fl,got_first_child_fl,got_married_fl,married_now_fl,actual_civil_status_ds,actual_domestic_situation_ds,actual_dwelling_ds,actual_urban_type_ds,actual_occupation_type_ds,actual_household_gross_monthly_income_qt,actual_household_gross_monthly_income_med_qt,actual_household_gross_monthly_income_std_qt,actual_household_net_monthly_income_qt,actual_household_net_monthly_income_med_qt,actual_household_net_monthly_income_std_qt,cf20m130,cf19l130,cf18k130,cf17j130,cf14g130,cf15h130,cf16i130,cf20m031,cf19l031,cf18k031,cf17j031,cf20m028,cf17j028,cf20m029,cf19l029,cf08a178,cf08a179,cf10c166,cf11d186,cf20m129,cf20m456,cf20m457,cf20m458,cf19l472,cf20m203_ds,cf20m204_ds,cf20m202_ds,cf20m251,cf17j398,cf20m245_ds,cf20m248_ds,cf20m249,cf20m387,cf20m384,cd20m024,ca18f023,cd20m083,cf20m005,cf20m009,ch20m219,cf20m007,cf20m008,cf20m011,cf20m012,cf20m013,cf20m014,cf20m015,cf20m016,personality_1,personality_2,personality_3,personality_4,personality_5,cf20m130_isna_fl,cf19l130_isna_fl,cf18k130_isna_fl,cf17j130_isna_fl,cf14g130_isna_fl,cf15h130_isna_fl,cf16i130_isna_fl,cf20m031_isna_fl,cf19l031_isna_fl,cf20m028_isna_fl,cf20m029_isna_fl,cf19l029_isna_fl,cf20m251_isna_fl,cf20m249_isna_fl
715619,male,30.0,1.0,0.0,0.0,0.0,1.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Moderately urban,Paid employment,,2577.4142108627,423.59719364037994,,1750.0,255.65499628245684,,,,,10.0,,,2018.0,2018.0,,,,,2015.0,2015.0,,,,,,,,,,missing,missing,missing,,,missing,missing,,,,,,,1964.0,1954.0,0.0,1.0,,1.0,,,,1.0,2.0,0.896426641091369,-0.5699218452671289,-0.9043565319238989,-0.23426077755858352,-0.7765257681437958,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
716711,female,31.0,1.0,0.0,0.0,0.0,0.0,0.0,Never been married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Very urban,Paid employment,5543.0,3988.70710543135,1594.9229631045787,4166.0,3250.0,1277.3580411255784,1.0,1.0,2.0,2.0,,,3.0,,,,,,,2015.0,2015.0,3.0,3.0,,,1.0,,,,,missing,missing,missing,,4765.8923613527,missing,missing,,,,,,,1950.0,1949.0,0.0,1.0,,1.0,,,,,,1.1817915942888901,-0.3176479760840826,1.2238552942636505,0.30041339046311305,-0.9646364710998887,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
717188,female,38.0,1.0,1.0,0.0,0.0,0.0,0.0,Never been married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Slightly urban,Paid employment,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,9.0,,,,,,,missing,missing,missing,,,missing,missing,,,,,,,1946.0,1947.0,0.0,1.0,,1.0,,,,,,-1.5923745185044569,1.0437766169892495,0.16526212218354902,0.9830947515957325,0.45065517706820757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
712090,female,39.0,1.0,0.0,0.0,0.0,0.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Not urban,Paid employment,6772.098295147,6400.0,1574.5141504968606,4700.0,4300.0,723.2726378803212,,,,,,,,2018.0,2018.0,2018.0,,,,2013.0,2013.0,,,,1.0,,2010.0,2005.0,,,missing,missing,missing,,,missing,missing,,,,525000.0,4000.0,260000.0,1951.0,,0.0,1.0,,,,,,2.0,,-1.7342199577664996,0.5039623356656194,0.35957207897100363,1.1717909842443712,-1.0059063946867743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
709537,female,35.0,1.0,2.0,1.0,1.0,0.0,0.0,Never been married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Moderately urban,Paid employment,,2918.42621477271,10.47838730844798,,2000.0,0.0,,,2.0,,5.0,2.0,2.0,,,,,,,,,,,,2.0,,,,,,missing,missing,missing,,,missing,missing,,,,,,,1949.0,1950.0,0.0,1.0,,1.0,,,,,,1.4293833009160206,-0.352787125845323,-1.5708637712653675,-0.7116532488140969,-0.9816435064567487,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
701934,female,30.0,1.0,2.0,0.0,0.0,0.0,0.0,Never been married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Very urban,Paid employment,11995.4994801519,6430.32175942314,2861.618225542888,8100.0,4600.0,1846.742658328523,,,,,,,,,,,,2020.0,,,,,,8.0,,,,,,,missing,missing,missing,,,missing,missing,,,,,,,1959.0,1962.0,0.0,1.0,,1.0,,,,,,0.02318812451911654,0.2734300366772432,-0.38954792004725236,-0.6404627508251632,-0.8002831222712095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
722049,male,41.0,1.0,2.0,0.0,0.0,0.0,1.0,Married,"(Un)married co-habitation, with child(ren)",Rental dwelling,Slightly urban,Paid employment,,,,,,,,,,,,,,2007.0,2007.0,2007.0,2007.0,,,2006.0,2006.0,,,,2.0,,2008.0,2010.0,,,missing,missing,missing,,0.0,missing,missing,,,,,,,,,0.0,1.0,,1.0,,,,,,0.5469972668483694,-0.9659225817854526,0.5640014747461594,0.1441263005795033,-1.6855923870553422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
727505,male,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Never been married,Single,missing,Extremely urban,Paid employment,3446.11391341185,3446.11391341185,,2250.0,2250.0,,5.0,,,,,,,,,,,2020.0,,,,5.0,2.0,4.0,,2.0,,,,,missing,missing,missing,,,missing,missing,,,,,,,1969.0,1964.0,0.0,1.0,,1.0,,,,,,-0.16989795022710052,-0.6180145111064926,0.29955659991269956,1.273661144763902,1.4548441462506831,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
707819,male,36.0,1.0,3.0,1.0,1.0,1.0,1.0,Married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Very urban,Paid employment,10050.0,7233.341514973965,2935.33939211923,6400.0,4722.5,1789.0230773884864,,1.0,,0.0,,1.0,0.0,2020.0,,,,,,2015.0,2015.0,,,,1.0,,2016.0,2017.0,2019.0,,4.0,5.0,4.0,1800.0,42458.1685898014,1.0,1.0,6.0,1098.0,,495000.0,1000.0,384000.0,1953.0,1955.0,0.0,1.0,,1.0,,,,,,-2.23228341870691,-0.6708502779502687,-1.4431538978669367,-1.3057124808375715,-1.40383753718124,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
704281,female,41.0,1.0,0.0,0.0,0.0,0.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Extremely urban,Paid employment,5639.0,5966.0,312.8325195711581,4252.0,4218.0,229.82508288349263,,,,,,,,2003.0,2003.0,2003.0,2003.0,,,2003.0,2003.0,,,,2.0,,,,,,missing,missing,missing,,1535.37650105764,missing,missing,,,,,,,1954.0,1955.0,0.0,1.0,,1.0,,,,,,-0.3933588251737187,-0.4350074573789386,1.0115455079386126,0.6919118413514554,-0.20392515475382494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
700731,female,44.0,1.0,0.0,0.0,0.0,0.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Rental dwelling,Not urban,Takes care of the housekeeping,1650.0,1653.96275336895,633.4391086639159,1300.0,1300.0,499.92875151103345,,,,,,,,,2010.0,2010.0,2010.0,,,,2009.0,3.0,3.0,,1.0,,,,,,missing,missing,missing,,0.0,missing,missing,,,,,,,,,0.0,,,,,,,,,-0.14398952717035002,-0.532491473190523,0.348089039299878,-0.11187684654397761,0.2555036816121512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
719895,female,36.0,0.0,0.0,0.0,0.0,1.0,1.0,Married,Single,Self owned dwelling,Moderately urban,Paid employment,1750.0,1800.0,360.4678193357306,1500.0,1500.0,207.97291227570273,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2020.0,,,,,,2017.0,2017.0,,,,1.0,1.0,2017.0,,,,3.0,3.0,3.0,250.0,2035.30096054613,0.0,missing,2.0,,,,,,1953.0,1952.0,0.0,1.0,,1.0,,,,,,1.120002985995153,-0.6333661448866815,0.33632838062819176,-0.5996987868761683,-1.3040383164436018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
708937,female,31.0,1.0,0.0,0.0,0.0,0.0,0.0,Never been married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Extremely urban,Paid employment,6608.0,3942.83426805073,1862.277716478897,4678.0,2930.0,1358.6062177361111,,5.0,5.0,,,6.0,8.0,,,,,,,2015.0,2015.0,,,6.0,,,,,,,missing,missing,missing,,,missing,missing,,,,345000.0,,339285.0,1954.0,1954.0,0.0,1.0,,1.0,,,,,,1.5213752083182828,-1.3537017107203118,0.8061427100072973,-1.6286665832548337,-0.6775964606176162,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
730975,female,41.0,1.0,3.0,1.0,0.0,0.0,0.0,Never been married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Slightly urban,Paid employment,6081.28217634253,6081.28217634253,997.986144132608,4000.0,4000.0,494.1979268890771,,,,,,,,,,,,,,2005.0,2005.0,,,,1.0,,2008.0,2010.0,2012.0,,missing,missing,missing,,1438.20443609384,missing,missing,,,,,,,1937.0,1945.0,1.0,1.0,,1.0,,,,,,0.4592188655214131,-0.6814848776747444,0.20615269298932887,0.047516672805269174,-0.5153002816524395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
708136,female,33.0,1.0,2.0,1.0,1.0,1.0,1.0,Married,"(Un)married co-habitation, with child(ren)",Self owned dwelling,Extremely urban,Paid employment,8166.0,5813.0,705.5252456435711,5560.0,4075.0,613.8808465621122,1.0,,1.0,2.0,2.0,1.0,,2015.0,2015.0,2015.0,2015.0,,,2009.0,2009.0,,,,1.0,1.0,2017.0,2019.0,,,2.0,4.0,3.0,3150.0,,0.0,missing,8.0,2220.0,,620000.0,,501200.0,1960.0,1963.0,0.0,1.0,,1.0,,,,2.0,2.0,-0.987012543395252,0.7349354314159414,-0.11275373121277346,1.3308166177997536,1.9333891183964174,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
705213,male,42.0,0.0,0.0,0.0,0.0,1.0,1.0,Married,Single,Self owned dwelling,Extremely urban,Paid employment,3260.0,3300.0,206.31072597671894,2250.0,2250.0,232.63563444436326,2.0,0.0,,,2.0,2.0,2.0,2016.0,2016.0,2016.0,,,,2012.0,2012.0,3.0,2.0,6.0,2.0,1.0,2020.0,,,,4.0,6.0,4.0,403.0,,0.0,missing,4.0,,,225000.0,7000.0,,1952.0,1957.0,0.0,1.0,,1.0,,,,,,0.674554376040135,0.25746471701236245,0.07703712180150171,0.42086901886809874,-0.06287780283643547,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
714146,male,37.0,1.0,0.0,0.0,0.0,1.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Slightly urban,"Autonomous professional, freelancer, or self-employed",4000.0,4900.0,1671.1703567964728,3550.0,3550.0,786.0200091860866,,,,,0.0,2.0,0.0,2013.0,2013.0,2013.0,2013.0,,,2009.0,2009.0,,,,2.0,,2014.0,2016.0,,,missing,missing,missing,,,missing,missing,,,,,6000.0,,,1950.0,0.0,,,1.0,,,,,2.0,-0.34038568463770186,1.3761254052839977,-0.3997286795674598,0.10715654593818608,1.733259810511729,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
729014,female,33.0,1.0,2.0,1.0,0.0,0.0,1.0,Divorced,"(Un)married co-habitation, with child(ren)",Rental dwelling,Very urban,Paid employment,4967.0780070536,4255.87362261392,1619.4898969667827,3500.0,2997.0,1051.6141801290312,2.0,0.0,1.0,,,,5.0,,,,,,,2016.0,2016.0,,,,,2.0,2005.0,2007.0,2020.0,,2.0,4.0,4.0,808.0,1364.85347198884,0.0,missing,4.0,500.0,,,,,1955.0,1960.0,1.0,1.0,,1.0,,,,,,1.2793644580657813,1.6036439668673068,-0.09635686756656199,0.22022154585867593,0.6507669938330409,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
712435,male,44.0,0.0,0.0,1.0,1.0,0.0,0.0,Never been married,Single,Self owned dwelling,Very urban,Paid employment,3446.11391341185,5982.47711902668,1178.1336333799845,2250.0,4000.0,808.1355258142214,,,,,,,,,,,,,2016.0,,2017.0,,,,1.0,,2007.0,,,,missing,missing,missing,,7343.61607111919,missing,missing,,,,,,,1948.0,1950.0,0.0,1.0,,1.0,,,,,,2.2959768442544424,0.3006812671781145,0.6415962037949401,-1.0813210112470533,-0.41606992134300164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
725289,female,30.0,0.0,0.0,1.0,1.0,0.0,0.0,Never been married,Single,Rental dwelling,Very urban,Has (partial) work disability,1617.0,4229.455868374,1145.1694073878043,1240.0,3450.0,942.6991219498386,,,,,8.0,,,,,,,,,,,3.0,3.0,7.0,,,,,,,missing,missing,missing,,,missing,missing,,,,,,,1944.0,1953.0,0.0,1.0,,1.0,,,,,,0.7029225304383147,0.27719541734727515,1.3542961428733442,-0.278058252215677,0.31155647729699226,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
702808,female,32.0,0.0,0.0,0.0,0.0,1.0,1.0,Married,Single,Rental dwelling,Extremely urban,Paid employment,2833.53072225164,2200.0,274.7763043155397,1900.0,1750.0,252.0525341840576,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2018.0,2018.0,2018.0,,,,2010.0,2010.0,3.0,3.0,,1.0,1.0,2018.0,,,,2.0,4.0,4.0,250.0,1461.42156819995,1.0,1.0,5.0,,,,,,1950.0,1955.0,0.0,1.0,,1.0,,,,,,-0.3112490974317298,0.7009821918311183,0.36504166819347433,1.2173879416994282,1.1637775053663746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
732113,female,38.0,0.0,0.0,0.0,0.0,0.0,0.0,Divorced,Single,Rental dwelling,Not urban,Paid employment,2492.94722378449,2492.94722378449,105.84279735508731,1700.0,1700.0,65.58958989042623,,,,,,,,,,,,,,,,,,,,,,,,,missing,missing,missing,,,missing,missing,,,,,,,1949.0,1963.0,0.0,1.0,,1.0,,,,,,-0.9484639061695618,-0.22362833445715885,-0.23722317295375991,0.14985334211777274,-0.256152139478415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
715903,female,44.0,0.0,1.0,1.0,0.0,0.0,0.0,Divorced," Single, with child(ren)",Rental dwelling,Extremely urban,Has (partial) work disability,1700.0,900.0,332.50097853448835,1530.0,850.0,304.7393938009474,,,,,,,,,,,,,,,,,,9.0,4.0,,1997.0,2000.0,,,missing,missing,missing,,,missing,missing,,,,,,,1942.0,,0.0,1.0,,,,,,2.0,,0.3814759137256953,-1.1360115521437684,0.657145471985387,0.7223183051658199,0.651547910783774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
703283,male,34.0,1.0,0.0,1.0,1.0,1.0,1.0,Married,"(Un)married co-habitation, without child(ren)",Self owned dwelling,Very urban,Paid employment,7420.0,5020.0,1904.6689931171513,5000.0,3350.0,1222.4063098242937,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2017.0,2017.0,2017.0,2017.0,,,2014.0,2014.0,4.0,1.0,6.0,1.0,2.0,,,,,missing,missing,missing,,6647.70471666725,missing,missing,,,,450000.0,7500.0,225000.0,1960.0,1961.0,0.0,1.0,,1.0,,,,,,-1.5398888475815888,-0.13509591329059706,-0.28655739423105797,0.16664806358139972,0.5640846754744695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
