nomem_encr,actual_household_gross_monthly_income_qt,actual_household_net_monthly_income_qt,actual_household_gross_monthly_income_med_qt,actual_household_gross_monthly_income_std_qt,actual_household_net_monthly_income_std_qt,age_qt,gender_ds,got_married_fl,actual_household_net_monthly_income_med_qt,cf20m130_zero,cf20m130_negative,belbezig_2020_imputed,brutoink_f_2020_imputed,nettoink_f_2020_imputed,burgstat_2020_imputed,oplcat_2020_imputed,partner_2020_imputed,sted_2020_imputed,woning_2020_imputed,woonvorm_2020_imputed,cf20m130_imputed,cf20m129_imputed,cf20m128_imputed,cf20m005_imputed,cf20m008_imputed,cf20m009_imputed,cf20m012_imputed,cf20m014_imputed,cf20m398_imputed,cf20m025_imputed,cf20m028_imputed,cf20m029_imputed,cf20m030_imputed,cf20m031_imputed,cf20m402_imputed,cf20m166_imputed,cf20m185_imputed,cf20m186_imputed,cf20m250_imputed,cf20m251_imputed,cf20m471_imputed,cf20m472_imputed,cf20m486_imputed,cv20l068_imputed,cv20l103_imputed,cv20l125_imputed,cv20l126_imputed,cv20l130_imputed,cs20m180_imputed,cs20m370_imputed,cr20m041_imputed,cr20m093_imputed,cr20m094_imputed,ca20g023_imputed,cd20m024_imputed,ci20m043_imputed,ci20m309_imputed,ch20m219_imputed,year_last_child_imputed,num_children_imputed,cf20m130,cf20m129,cf20m128,cf20m025,cf20m030,cf20m402,cf20m166,ch20m219,migration_background_bg,belbezig_2020,brutoink_f_2020,nettoink_f_2020,burgstat_2020,oplcat_2020,partner_2020,sted_2020,woning_2020,woonvorm_2020,same_sex_ds,personality_1,personality_2,personality_3,personality_4,personality_5,new_child
715619,,,2577.4142108627,423.59719364038,255.65499628245684,30.0,male,1.0,1750.0,10.0,10.0,1.0,2577.4142108627,1750.0,1.0,4.0,1.0,3.0,1.0,2.0,10.0,2.0,3.0,1964.0,,1954.0,,7.0,,1.0,2014.0,2015.0,1.0,2018.0,1.0,7.0,2.0,1.0,,,2.0,,3.0,0.0,5.0,3.0,3.0,4.0,0.0,6.0,6.0,1.0,1.0,14000.0,330000.0,0.0,5.0,0.0,,0,,,3.0,1.0,1.0,1.0,,0.0,0.0,1.0,,,1.0,4.0,1.0,3.0,1.0,2.0,False,0.896426641091369,-0.5699218452671289,-0.9043565319238988,-0.2342607775585835,-0.7765257681437958,0.0
716711,5543.0,4166.0,3988.70710543135,1594.922963104579,1277.3580411255784,31.0,female,0.0,3250.0,1.0,1.0,1.0,3043.0,2166.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1950.0,,1949.0,,,4767.0,1.0,2012.0,2015.0,2.0,,1.0,7.0,1.0,1.0,,,2.0,,5.0,0.0,4.0,2.0,3.0,5.0,99.0,6.0,6.0,3.0,4.0,-9.0,197000.0,0.0,5.0,0.0,,0,1.0,1.0,1.0,1.0,2.0,1.0,,0.0,0.0,1.0,3043.0,2166.0,5.0,5.0,1.0,2.0,1.0,2.0,False,1.18179159428889,-0.3176479760840826,1.2238552942636505,0.300413390463113,-0.9646364710998888,1.0
717188,,,,,,38.0,female,0.0,,,,1.0,,,5.0,5.0,1.0,4.0,1.0,3.0,,,3.0,1946.0,,1947.0,,,,,,,,,,9.0,,,,,2.0,,,0.0,5.0,3.0,4.0,3.0,0.0,,3.0,1.0,4.0,500.0,,0.0,5.0,0.0,,0,,,3.0,,,,,0.0,0.0,1.0,,,5.0,5.0,1.0,4.0,1.0,3.0,False,-1.5923745185044569,1.0437766169892495,0.165262122183549,0.9830947515957325,0.4506551770682075,0.0
712090,6772.098295147,4700.0,6400.0,1574.5141504968606,723.2726378803212,39.0,female,0.0,4300.0,2.0,2.0,1.0,1950.0,1700.0,1.0,5.0,1.0,5.0,1.0,2.0,3.0,1.0,2.0,1951.0,,1953.0,2017.0,,89782.7695329121,1.0,1999.0,2013.0,1.0,2018.0,1.0,,1.0,1.0,,688.0,2.0,,4.0,0.0,4.0,2.0,2.0,4.0,0.0,5.0,6.0,1.0,1.0,10000.0,525000.0,0.0,1.0,0.0,2010.0,2,,,2.0,1.0,1.0,1.0,,0.0,0.0,1.0,1950.0,1700.0,1.0,5.0,1.0,5.0,1.0,2.0,False,-1.7342199577664996,0.5039623356656194,0.3595720789710036,1.1717909842443712,-1.0059063946867743,0.0
709537,,,2918.42621477271,10.47838730844798,0.0,35.0,female,0.0,2000.0,4.0,4.0,1.0,888.36396681827,700.0,5.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1949.0,,1950.0,,,0.0,1.0,2008.0,2013.0,2.0,,1.0,4.0,1.0,1.0,,,2.0,,,0.0,1.0,3.0,4.0,3.0,99.0,2.0,5.0,4.0,4.0,,,0.0,5.0,0.0,,0,,,3.0,,,,4.0,0.0,101.0,1.0,,,5.0,4.0,1.0,3.0,1.0,3.0,False,1.4293833009160206,-0.352787125845323,-1.5708637712653677,-0.7116532488140969,-0.9816435064567488,0.0
701934,11995.4994801519,8100.0,6430.32175942314,2861.618225542888,1846.742658328523,30.0,female,0.0,4600.0,,,1.0,3130.4313179918,2100.0,5.0,4.0,1.0,2.0,1.0,3.0,,,3.0,1959.0,,1962.0,,,0.0,2.0,2020.0,1989.0,2.0,1989.0,,7.0,3.0,2.0,,,2.0,,,0.0,4.0,2.0,4.0,4.0,0.0,3.0,6.0,1.0,4.0,-8.0,,0.0,5.0,0.0,,0,,,3.0,2.0,2.0,,,0.0,0.0,1.0,3130.4313179918,2100.0,5.0,4.0,1.0,2.0,1.0,3.0,False,0.0231881245191165,0.2734300366772432,-0.3895479200472523,-0.6404627508251632,-0.8002831222712095,0.0
722049,,,,,,41.0,male,0.0,,1.0,1.0,1.0,,,1.0,4.0,1.0,4.0,2.0,3.0,2.0,1.0,2.0,,,,,,0.0,1.0,2000.0,2006.0,1.0,2007.0,1.0,,1.0,2.0,4.0,0.0,2.0,,2.0,0.0,5.0,1.0,5.0,5.0,99.0,,6.0,1.0,1.0,,,0.0,1.0,0.0,2010.0,2,,,2.0,1.0,1.0,1.0,,0.0,0.0,1.0,,,1.0,4.0,1.0,4.0,2.0,3.0,False,0.5469972668483694,-0.9659225817854526,0.5640014747461594,0.1441263005795033,-1.6855923870553422,0.0
727505,3446.11391341185,2250.0,3446.11391341185,,,30.0,male,0.0,2250.0,5.0,5.0,1.0,3446.11391341185,2250.0,5.0,6.0,0.0,1.0,1.0,1.0,5.0,2.0,1.0,1969.0,,1964.0,,,0.0,2.0,2020.0,,2.0,,,6.0,1.0,1.0,,,2.0,,,0.0,5.0,2.0,3.0,4.0,0.0,,6.0,1.0,4.0,,,0.0,1.0,0.0,,0,5.0,2.0,1.0,2.0,2.0,,,0.0,0.0,1.0,3446.11391341185,2250.0,5.0,6.0,0.0,1.0,,1.0,False,-0.1698979502271005,-0.6180145111064926,0.2995565999126995,1.273661144763902,1.4548441462506831,1.0
707819,10050.0,6400.0,7233.341514973965,2935.33939211923,1789.0230773884864,36.0,male,1.0,4722.5,5.0,5.0,1.0,4750.0,3100.0,1.0,5.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1953.0,,1955.0,,,48342.0,1.0,2014.0,2015.0,1.0,2020.0,1.0,8.0,2.0,1.0,5.0,1800.0,2.0,,2.0,0.0,2.0,3.0,5.0,3.0,0.0,6.0,6.0,1.0,1.0,1200.0,495000.0,0.0,5.0,0.0,2019.0,3,,,3.0,1.0,1.0,1.0,,0.0,0.0,1.0,4750.0,3100.0,1.0,5.0,1.0,2.0,1.0,3.0,False,-2.23228341870691,-0.6708502779502687,-1.4431538978669367,-1.3057124808375715,-1.40383753718124,1.0
704281,5639.0,4252.0,5966.0,312.8325195711581,229.82508288349263,41.0,female,0.0,4218.0,1.0,1.0,1.0,2664.0,2002.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1954.0,,1955.0,,,1543.0,1.0,2001.0,2003.0,1.0,2003.0,1.0,,1.0,2.0,,,2.0,,3.0,0.0,4.0,2.0,4.0,4.0,0.0,5.0,4.0,1.0,4.0,,,0.0,5.0,0.0,,0,,,2.0,1.0,1.0,1.0,,0.0,0.0,1.0,2664.0,2002.0,1.0,4.0,1.0,1.0,1.0,2.0,False,-0.3933588251737187,-0.4350074573789386,1.0115455079386126,0.6919118413514554,-0.2039251547538249,0.0
