nomem_encr,gross income,net income,gross income med 2011-2020,gross income std 2011-2020,net income std 2011-2020,age,gender,got married,net income med 2011-2020,how many years first/next child (imp zero),how many years first/next child (imp neg),primary occupation (imp),gross income (imp),net income (imp),civil status (imp),level of education (imp),lives together with partner (imp),urban character (imp),dwelling type (imp),domestic situation (imp),how many years first/next child (imp),how many (more) children (imp),will have (more) children (imp),father birth year (imp),father death year (imp),mother birth year (imp),mother death year (imp),age when parents separated (imp),distance from parents (imp),live together with partner (imp),year relatioship start (imp),year cohabitation start (imp),married (imp),year married (imp),same partner from last year (imp),satisfied with being single (imp),relationship arguments - leisure (imp),relationship arguments - working (imp),childcare hours (imp),childcare expense (imp),children passed away (imp),number of children passed away (imp),household division - jobs (imp),ever contacted a politician(imp),income disparity opinion (imp),opinion - should marry for children (imp),opinion - single parent is acceptable (imp),opinion - divorce is acceptable (imp),number of days for leasure (imp),highest level of education (imp),religion gatherions attendance (imp),speak dutch with partner (imp),speak dutch with children (imp),car value (imp),property value (imp),enterpreneur (imp),pay parental contribution (imp),go to gynaecologist (imp),year last child (imp),num children (imp),how many years first/next child,how many (more) children,will have (more) children,live together with partner,married,same partner,satisfaction with being single,go to gynaecologist,origin (imp),occupation,gross income (imp),net income (imp),civil status,level of education,lives together with partner,urban character,dwelling type,domestic situation,partner has same sex,neuroticism,extraversion,agreableness,conscientiousness,openness,new_child
715619,,,2577.4142108627,423.59719364038,255.65499628245684,30,male,1,1750.0,10,10,Paid employment,2577.4142108627,1750,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",10,2,I don't know,1964,,1954,,7,,yes,2014,2015,yes,2018,yes,7,occasionally,practically never,,,no,,we do roughly the same amount of work,no,differences in income should decrease,neither agree nor disagree,neither agree nor disagree,agree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",14000,330000,no,not applicable,no,,0,,,I don't know,yes,yes,yes,,no,Dutch background,Paid employment,,,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,0.896426641091369,-0.5699218452671289,-0.9043565319238988,-0.2342607775585835,-0.7765257681437958,0
716711,5543.0,4166,3988.70710543135,1594.922963104579,1277.3580411255784,31,female,0,3250.0,1,1,Paid employment,3043.0,2166,Never been married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",1,1,yes,1950,,1949,,,4767.0,yes,2012,2015,no,,yes,7,practically never,practically never,,,no,,my partner does a lot more than I,no,,disagree,neither agree nor disagree,fully agree,never,"HBO (higher professional education, US: college)",never,"no, never",not applicable,-9,197000,no,not applicable,no,,0,1,1,yes,yes,no,yes,,no,Dutch background,Paid employment,3043.0,2166,Never been married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,1.18179159428889,-0.3176479760840826,1.2238552942636505,0.300413390463113,-0.9646364710998888,1
717188,,,,,,38,female,0,,,,Paid employment,,,Never been married,"hbo (higher vocational education, US: college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,I don't know,1946,,1947,,,,,,,,,,9,,,,,no,,,no,differences in income should decrease,neither agree nor disagree,agree,neither agree nor disagree,less than 1 day a week,,once a week,"yes, often/always",not applicable,500,,no,not applicable,no,,0,,,I don't know,,,,,no,Dutch background,Paid employment,,,Never been married,"hbo (higher vocational education, US: college)",Yes,Slightly urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-1.5923745185044569,1.0437766169892495,0.165262122183549,0.9830947515957325,0.4506551770682075,0
712090,6772.098295147,4700,6400.0,1574.5141504968606,723.2726378803212,39,female,0,4300.0,2,2,Paid employment,1950.0,1700,Married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",3,1,no,1951,,1953,2017,,89782.7695329121,yes,1999,2013,yes,2018,yes,,practically never,practically never,,688,no,,my partner does more than I,no,,disagree,disagree,agree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",never,"yes, often/always","yes, often/always",10000,525000,no,yes,no,2010,2,,,no,yes,yes,yes,,no,Dutch background,Paid employment,1950.0,1700,Married,"hbo (higher vocational education, US: college)",Yes,Not urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-1.7342199577664996,0.5039623356656194,0.3595720789710036,1.1717909842443712,-1.0059063946867743,0
709537,,,2918.42621477271,10.47838730844798,0.0,35,female,0,2000.0,4,4,Paid employment,888.36396681827,700,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",2,2,I don't know,1949,,1950,,,0.0,yes,2008,2013,no,,yes,4,practically never,practically never,,,no,,,no,differences in income should increase,neither agree nor disagree,agree,neither agree nor disagree,never,primary school,once or a few times a year,not applicable,not applicable,,,no,not applicable,no,,0,,,I don't know,,,,4,no,"First generation foreign, Western background",Paid employment,,,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Moderately urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,1.4293833009160206,-0.352787125845323,-1.5708637712653677,-0.7116532488140969,-0.9816435064567488,0
701934,11995.4994801519,8100,6430.32175942314,2861.618225542888,1846.742658328523,30,female,0,4600.0,,,Paid employment,3130.4313179918,2100,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",,,I don't know,1959,,1962,,,0.0,no,2020,1989,no,1989,,7,often,occasionally,,,no,,,no,,disagree,agree,agree,less than 1 day a week,"VMBO, LBO, MULO, ULO, MAVO (lower/intermediate secondary education, US: junior high school)",never,"yes, often/always",not applicable,-8,,no,not applicable,no,,0,,,I don't know,no,no,,,no,Dutch background,Paid employment,3130.4313179918,2100,Never been married,"mbo (intermediate vocational education, US: junior college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,0.0231881245191165,0.2734300366772432,-0.3895479200472523,-0.6404627508251632,-0.8002831222712095,0
722049,,,,,,41,male,0,,1,1,Paid employment,,,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",2,1,no,,,,,,0.0,yes,2000,2006,yes,2007,yes,,practically never,occasionally,4,0,no,,I do more than my partner,no,differences in income should decrease,fully disagree,fully agree,fully agree,never,,never,"yes, often/always","yes, often/always",,,no,yes,no,2010,2,,,no,yes,yes,yes,,no,Dutch background,Paid employment,,,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Slightly urban,Rental dwelling,"(Un)married co-habitation, with child(ren)",False,0.5469972668483694,-0.9659225817854526,0.5640014747461594,0.1441263005795033,-1.6855923870553422,0
727505,3446.11391341185,2250,3446.11391341185,,,30,male,0,2250.0,5,5,Paid employment,3446.11391341185,2250,Never been married,wo (university),No,Extremely urban,Self-owned dwelling,Single,5,2,yes,1969,,1964,,,0.0,no,2020,,no,,,6,practically never,practically never,,,no,,,no,differences in income should decrease,disagree,neither agree nor disagree,agree,less than 1 day a week,,never,"yes, often/always",not applicable,,,no,yes,no,,0,5,2,yes,no,no,,,no,Dutch background,Paid employment,3446.11391341185,2250,Never been married,wo (university),No,Extremely urban,,Single,False,-0.1698979502271005,-0.6180145111064926,0.2995565999126995,1.273661144763902,1.4548441462506831,1
707819,10050.0,6400,7233.341514973965,2935.33939211923,1789.0230773884864,36,male,1,4722.5,5,5,Paid employment,4750.0,3100,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",1,2,I don't know,1953,,1955,,,48342.0,yes,2014,2015,yes,2020,yes,8,occasionally,practically never,5,1800,no,,I do more than my partner,no,,neither agree nor disagree,fully agree,neither agree nor disagree,less than 1 day a week,"HBO (higher professional education, US: college)",never,"yes, often/always","yes, often/always",1200,495000,no,not applicable,no,2019,3,,,I don't know,yes,yes,yes,,no,Dutch background,Paid employment,4750.0,3100,Married,"hbo (higher vocational education, US: college)",Yes,Very urban,Self-owned dwelling,"(Un)married co-habitation, with child(ren)",False,-2.23228341870691,-0.6708502779502687,-1.4431538978669367,-1.3057124808375715,-1.40383753718124,1
704281,5639.0,4252,5966.0,312.8325195711581,229.82508288349263,41,female,0,4218.0,1,1,Paid employment,2664.0,2002,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",1,2,no,1954,,1955,,,1543.0,yes,2001,2003,yes,2003,yes,,practically never,occasionally,,,no,,we do roughly the same amount of work,no,,disagree,agree,agree,less than 1 day a week,"MBO (intermediate professional education, US: junior college)",at least once a month,"yes, often/always",not applicable,,,no,not applicable,no,,0,,,no,yes,yes,yes,,no,Dutch background,Paid employment,2664.0,2002,Married,"mbo (intermediate vocational education, US: junior college)",Yes,Extremely urban,Self-owned dwelling,"(Un)married co-habitation, without child(ren)",False,-0.3933588251737187,-0.4350074573789386,1.0115455079386126,0.6919118413514554,-0.2039251547538249,0
